iteration,elapsed_s,iter_s,loss,policy_loss,value_loss,games,positions,buffer,selfplay_s,train_s,games_per_s
259,31789.2,124.1,2.4398,2.3316,0.1081,96,12887,80000,119.6,4.4,0.803
260,31907.4,118.2,2.447,2.3405,0.1065,96,11315,80000,113.7,4.4,0.844
261,32033.1,125.7,2.4508,2.3503,0.1005,96,12848,80000,121.2,4.4,0.792
262,32155.1,122.1,2.4579,2.3573,0.1006,96,12377,80000,117.6,4.4,0.817
263,32274.6,119.5,2.4574,2.3648,0.0926,96,11929,80000,115.0,4.5,0.835
264,32392.8,118.1,2.4622,2.3665,0.0957,96,11635,80000,113.6,4.5,0.845
265,32512.1,119.4,2.4602,2.3623,0.0978,96,11443,80000,114.9,4.4,0.836
266,32635.2,123.1,2.4561,2.3593,0.0968,96,12257,80000,118.5,4.5,0.81
267,32757.7,122.6,2.4477,2.3554,0.0923,96,12369,80000,118.1,4.4,0.813
268,32886.4,128.7,2.4461,2.3561,0.09,96,12581,80000,124.1,4.5,0.773
269,33013.8,127.4,2.4268,2.3421,0.0847,96,12693,80000,122.9,4.5,0.781
270,33139.4,125.7,2.4073,2.3275,0.0798,96,13135,80000,121.2,4.4,0.792
271,33260.8,121.3,2.4177,2.3301,0.0876,96,12878,80000,116.8,4.5,0.822
272,33381.8,121.0,2.4359,2.3402,0.0956,96,12430,80000,116.5,4.4,0.824
273,33506.5,124.8,2.4244,2.3396,0.0848,96,13154,80000,120.3,4.4,0.798
274,33629.5,123.0,2.4378,2.3394,0.0984,96,12424,80000,118.5,4.4,0.81
275,33754.7,125.2,2.4448,2.3425,0.1023,96,12085,80000,120.7,4.5,0.795
276,33877.9,123.2,2.4589,2.3639,0.095,96,12802,80000,118.7,4.4,0.809
277,33998.4,120.6,2.4573,2.3636,0.0937,96,12183,80000,116.1,4.4,0.827
278,34123.7,125.3,2.4539,2.3611,0.0928,96,12750,80000,120.8,4.4,0.795
279,34251.0,127.3,2.4573,2.3604,0.0969,96,12737,80000,122.7,4.5,0.782
280,34373.6,122.6,2.4479,2.3498,0.0981,96,12288,80000,118.1,4.4,0.813
281,34495.2,121.6,2.4349,2.3443,0.0905,96,11744,80000,117.1,4.5,0.82
282,34617.9,122.7,2.424,2.3326,0.0914,96,12485,80000,118.2,4.4,0.812
283,34735.4,117.5,2.4377,2.3403,0.0974,96,11721,80000,112.9,4.5,0.85
284,34858.2,122.8,2.45,2.3538,0.0962,96,12223,80000,118.3,4.5,0.811
285,34979.8,121.6,2.4482,2.3575,0.0907,96,12296,80000,117.1,4.4,0.82
286,35101.1,121.3,2.4626,2.3731,0.0895,96,12617,80000,116.8,4.4,0.822
287,35225.9,124.8,2.4739,2.3792,0.0946,96,12924,80000,120.3,4.4,0.798
288,35348.0,122.1,2.4731,2.3802,0.0929,96,12490,80000,117.6,4.5,0.816
289,35471.1,123.1,2.4714,2.3812,0.0903,96,12268,80000,118.6,4.5,0.809
290,35592.2,121.1,2.457,2.3703,0.0867,96,12082,80000,116.5,4.5,0.824
291,35710.3,118.1,2.4671,2.3717,0.0954,96,11538,80000,113.5,4.5,0.846
292,35831.1,120.8,2.4843,2.3891,0.0952,96,11747,80000,116.3,4.5,0.826
293,35953.0,121.9,2.4775,2.3868,0.0907,96,12074,80000,117.4,4.5,0.818
294,36071.5,118.5,2.4801,2.3904,0.0897,96,11860,80000,114.0,4.5,0.842
295,36190.4,118.9,2.4947,2.4017,0.093,96,11910,80000,114.4,4.4,0.839
296,36313.4,122.9,2.4958,2.4036,0.0922,96,12709,80000,118.4,4.5,0.811
297,36437.7,124.4,2.492,2.397,0.0949,96,12067,80000,119.8,4.5,0.801
298,36558.1,120.3,2.4828,2.3957,0.0871,96,11842,80000,115.9,4.4,0.829
299,36684.0,125.9,2.4739,2.3916,0.0823,96,13042,80000,121.4,4.5,0.791
